,word list,word occurence count,Chi Square
0,aa,36,18.903978409188923
1,aaa,2,1.6002963511761437
2,aaaai,1,5.000463005833874
3,aaaand,2,10.001852194850898
4,aaam,3,15.004167824395665
5,aac,8,5.003242627950475
6,aachen,1,5.000463005833874
7,aad,5,14.9941705998597
8,aada,1,5.000463005833874
9,aadc,2,1.6002963511761437
10,aae,1,5.000463005833874
11,aagar,1,5.000463005833874
12,aair,1,5.000463005833874
13,aakan,1,5.000463005833874
14,aalat,1,5.000463005833874
15,aalt,1,5.000463005833874
16,aam,7,5.40884430797761
17,aan,2,1.6002963511761437
18,aanem,1,5.000463005833874
19,aantirasuah,1,5.000463005833874
20,aanya,1,5.000463005833874
21,aao,1,5.000463005833874
22,aaoa,2,
23,aap,8,19.222242001395067
24,aapabila,1,5.000463005833874
25,aapd,1,5.000463005833874
26,aapi,1,5.000463005833874
27,aapl,1,5.000463005833874
28,aapsky,1,5.000463005833874
29,aara,1,5.000463005833874
30,aaran,1,5.000463005833874
31,aaron,25,45.49053641531276
32,aarp,2,10.001852194850898
33,aarthy,1,5.000463005833874
34,aas,1,5.000463005833874
35,aasia,1,5.000463005833874
36,aastha,2,10.001852194850898
37,aat,2,
38,aau,1,5.000463005833874
39,ab,26,1.599496296434152
40,aba,18,19.178337040900455
41,abaca,1,5.000463005833874
42,abad,86,12.34409066768551
43,abadi,87,13.263985936519976
44,abai,264,55.208565897072674
45,abaiknya,1,5.000463005833874
46,abal,8,
47,abang,185,61.862625450590265
48,abar,56,38.80922522447697
49,abas,1,5.000463005833874
50,abaya,1,5.000463005833874
51,abayazid,2,
52,abbas,6,
53,abbey,2,1.6002963511761437
54,abbi,1,5.000463005833874
55,abbiamo,2,
56,abbie,1,5.000463005833874
57,abbottabad,1,5.000463005833874
58,abby,1,5.000463005833874
59,abc,21,29.595582121772512
60,abcb,1,5.000463005833874
61,abcdef,1,5.000463005833874
62,abd,1,5.000463005833874
63,abdan,2,10.001852194850898
64,abdee,2,
65,abdel,1,5.000463005833874
66,abdi,67,27.403337619602343
67,abdillah,3,5.401500416782439
68,abdomen,1,5.000463005833874
69,abdominal,5,25.011579434923576
70,abdu,2,1.6002963511761437
71,abduk,1,5.000463005833874
72,abdul,67,58.21030346624695
73,abdulaziz,2,
74,abdulgani,2,
75,abdullah,35,16.242189591489385
76,abdullahi,1,5.000463005833874
77,abdullatif,1,5.000463005833874
78,abdulmanap,4,
79,abdulrachman,1,5.000463005833874
80,abdulrahman,2,
81,abdurachman,9,14.992504781522925
82,abdurrachman,1,5.000463005833874
83,abe,4,1.5986969878177828
84,abed,6,9.809859314048035
85,abegabriel,1,5.000463005833874
86,abejuela,1,5.000463005833874
87,abel,4,
88,abela,1,5.000463005833874
89,abell,1,5.000463005833874
90,abelson,4,
91,abenk,4,5.003242627950475
92,abepura,2,10.001852194850898
93,aber,1,5.000463005833874
94,aberdeen,3,4.997131214824989
95,abers,1,5.000463005833874
96,aberson,2,
97,abg,3,4.997131214824989
98,abhijir,3,4.997131214824989
99,abhijit,3,4.997131214824989
100,abhinav,1,5.000463005833874
101,abhipraya,1,5.000463005833874
102,abhishek,2,1.6002963511761437
103,abi,5,14.9941705998597
104,abian,1,5.000463005833874
105,abid,1,5.000463005833874
106,abidal,1,5.000463005833874
107,abidin,8,29.99667592489998
